id,correcta,puntaje_obtenido,pregunta_id,respuesta_id,quizUser_id,nombreUser_id,uso_ayuda,dificultad,tiempo_pregunta
716,0,0,18,,105,105,0,,
717,1,1,18,46,105,105,0,2,117
718,0,0,19,,106,106,0,,
719,1,1,19,49,105,105,0,1,114
720,1,1,18,46,106,106,0,1,58
721,0,0,28,,105,105,0,,
722,0,0,7,,106,106,0,,
723,0,0,7,,106,106,0,,
724,0,0,17,,107,107,0,,
725,0,0,17,,107,107,0,,
726,0,0,2,,108,108,0,,
727,0,0,2,6,107,107,0,1,2
728,1,1,17,43,107,107,1,1,17
729,1,1,19,49,107,107,0,1,5
730,0,0,31,,108,108,0,,
731,1,2,28,77,107,107,0,3,-7
732,1,2,28,77,108,108,0,2,-12
733,1,3,23,63,108,108,0,3,44
734,0,0,35,,107,107,0,,
735,1,3,25,67,107,107,1,3,53
736,0,0,13,,108,108,0,,
737,1,2,13,32,108,108,0,1,1
738,1,2,13,32,107,107,0,2,104
739,0,0,30,,108,108,0,,
740,1,2,20,53,108,108,0,1,8
741,0,0,4,,107,107,0,,
742,0,0,4,,107,107,0,,
743,1,1,4,11,107,107,0,1,-2
744,1,2,31,84,107,107,0,2,118
745,0,0,8,,108,108,0,,
746,1,1,8,19,107,107,0,1,122
747,0,0,14,,108,108,0,,
748,1,1,14,36,107,107,0,2,146
749,0,0,18,,107,107,0,,
750,0,0,5,,107,107,0,,
751,0,0,19,,107,107,0,,
752,0,0,21,,107,107,0,,
753,1,1,7,18,107,107,0,1,-6
754,0,0,32,,108,108,0,,
755,1,2,32,87,107,107,0,3,140
756,0,0,29,,107,107,0,,
757,1,2,22,58,108,108,0,2,218
758,1,2,22,58,107,107,0,2,151
759,1,1,3,7,108,108,0,1,145
760,1,1,19,49,108,108,0,1,6
761,0,0,5,12,109,109,0,2,17
762,0,0,5,12,108,108,0,2,9
763,1,1,12,31,108,108,0,1,29
764,0,0,26,71,108,108,0,2,17
765,0,0,17,,109,109,0,,
766,1,1,17,43,109,109,0,1,34
767,1,2,11,27,109,109,0,1,11
768,1,3,29,78,108,108,0,3,47
769,1,3,35,95,109,109,0,3,65
770,1,3,35,95,108,108,0,3,43
771,0,0,29,,109,109,0,,
772,0,0,33,,108,108,0,,
773,1,3,24,66,108,108,0,3,72
774,0,0,23,,109,109,0,,
775,1,3,23,63,108,108,0,3,75
776,1,2,32,87,108,108,0,2,61
777,0,0,27,,109,109,0,,
778,0,0,27,72,109,109,0,3,69
779,1,3,27,73,108,108,0,3,69
780,1,3,24,66,108,108,0,3,90
781,1,3,24,66,109,109,0,3,90
782,1,2,21,55,109,109,0,2,77
783,1,1,18,46,109,109,0,1,36
784,0,0,3,,108,108,0,,
785,1,1,3,7,109,109,0,1,7
786,1,2,20,53,110,110,0,2,193
787,0,0,19,,109,109,0,,
788,1,1,19,49,110,110,0,1,191
789,0,0,19,,108,108,0,,
790,0,0,7,,108,108,0,,
791,1,2,11,27,110,110,0,2,195
792,0,0,9,,109,109,0,,
793,0,0,5,,110,110,0,,
794,1,2,5,13,108,108,0,2,15
795,1,3,34,93,110,110,0,1,202
796,0,0,22,,109,109,0,,
797,0,0,1,,110,110,0,,
798,0,0,8,,108,108,0,,
799,1,1,8,19,110,110,0,1,209
800,1,1,8,19,109,109,0,1,209
801,1,1,30,83,108,108,0,1,15
802,1,1,30,83,110,110,0,1,216
803,0,0,17,,108,108,0,,
804,1,2,26,69,108,108,0,2,225
805,0,0,4,,109,109,0,,
806,0,0,4,,110,110,0,,
807,1,1,4,11,108,108,0,1,22
808,1,2,22,58,110,110,1,2,217
809,1,2,22,58,109,109,0,2,217
810,1,1,18,46,110,110,0,1,29
811,0,0,28,,108,108,0,,
812,0,0,9,,109,109,0,,
813,0,0,26,71,111,111,0,2,22
814,1,1,17,43,111,111,0,1,24
815,1,2,13,32,111,111,0,2,32
816,1,3,34,93,111,111,0,3,33
817,1,3,27,73,111,111,0,3,36
818,1,3,27,73,111,111,0,3,36
819,1,3,29,78,111,111,0,3,42
820,1,3,25,67,111,111,0,3,50
821,1,3,24,66,111,111,0,3,55
822,1,3,35,95,111,111,0,2,56
823,0,0,31,,111,111,0,,
